IHP Amount for Owners,Owners Approved,Owners <$10k,Owners $10-25k,Owners $25k - Max,Owners Max,IHP Amount for Renters,Renters Approved,Renters $25k - Max,Renters Max,incidentType,fyDeclared
113705,67.0,65.0,2.0,0.0,0.0,5864,7.0,0.0,0.0,Hurricane,2017.0
7585926,952.0,671.0,196.0,85.0,34.0,388600,172.0,0.0,0.0,Hurricane,2017.0
11704934,4151.0,3902.0,188.0,61.0,36.0,5324244,2969.0,1.0,0.0,Hurricane,2017.0
2134953,512.0,439.0,56.0,17.0,5.0,95916,106.0,0.0,0.0,Hurricane,2017.0
8337075,3723.0,3571.0,128.0,24.0,10.0,4705068,3704.0,0.0,0.0,Hurricane,2017.0
1332525,386.0,352.0,30.0,4.0,2.0,350439,235.0,0.0,0.0,Hurricane,2017.0
3486586,628.0,501.0,107.0,20.0,7.0,551770,266.0,0.0,0.0,Hurricane,2017.0
12733134,1820.0,1305.0,394.0,121.0,45.0,2503685,1127.0,0.0,0.0,Hurricane,2017.0
6687721,657.0,457.0,95.0,105.0,93.0,2213401,721.0,1.0,0.0,Hurricane,2017.0
18382325,2938.0,2385.0,403.0,150.0,97.0,12165536,4456.0,2.0,0.0,Hurricane,2017.0
3025664,245.0,162.0,8.0,75.0,74.0,109218,44.0,0.0,0.0,Hurricane,2017.0
292512,33.0,25.0,1.0,7.0,7.0,46780,32.0,0.0,0.0,Hurricane,2017.0
596628,80.0,64.0,6.0,10.0,9.0,101169,29.0,1.0,1.0,Hurricane,2017.0
821335,70.0,47.0,2.0,21.0,21.0,18157,17.0,0.0,0.0,Hurricane,2017.0
364190,107.0,99.0,3.0,5.0,5.0,63538,56.0,0.0,0.0,Hurricane,2017.0
1178370,325.0,303.0,8.0,14.0,14.0,101699,66.0,0.0,0.0,Hurricane,2017.0
386359,61.0,50.0,4.0,7.0,7.0,43254,30.0,0.0,0.0,Hurricane,2017.0
1422078,100.0,59.0,5.0,36.0,35.0,39144,22.0,0.0,0.0,Hurricane,2017.0
1184594,89.0,54.0,5.0,30.0,30.0,31444,23.0,0.0,0.0,Hurricane,2017.0
2275577,183.0,116.0,7.0,60.0,58.0,35530,28.0,0.0,0.0,Hurricane,2017.0
4398601,3003.0,2919.0,80.0,4.0,2.0,3209019,3522.0,0.0,0.0,Hurricane,2017.0
901726,542.0,520.0,22.0,0.0,0.0,313053,373.0,0.0,0.0,Hurricane,2017.0
500,1.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0
2421264,811.0,714.0,93.0,4.0,3.0,481346,439.0,0.0,0.0,Hurricane,2017.0
16224098,8306.0,7920.0,349.0,37.0,16.0,9605169,9040.0,0.0,0.0,Hurricane,2017.0
43738610,32860.0,32461.0,379.0,20.0,7.0,62561525,53951.0,5.0,0.0,Hurricane,2017.0
3299324,2252.0,2183.0,69.0,0.0,0.0,1958731,1989.0,0.0,0.0,Hurricane,2017.0
3203760,2749.0,2713.0,31.0,5.0,3.0,1437800,1656.0,0.0,0.0,Hurricane,2017.0
7823573,2631.0,2390.0,172.0,69.0,18.0,2098574,1761.0,0.0,0.0,Hurricane,2017.0
21837321,10876.0,10328.0,485.0,63.0,21.0,13805575,11156.0,2.0,1.0,Hurricane,2017.0
2023038,1325.0,1282.0,39.0,4.0,1.0,920710,1071.0,0.0,0.0,Hurricane,2017.0
2612885,954.0,858.0,89.0,7.0,1.0,696720,739.0,0.0,0.0,Hurricane,2017.0
673467,467.0,458.0,6.0,3.0,1.0,158131,187.0,0.0,0.0,Hurricane,2017.0
23228705,13205.0,12645.0,534.0,26.0,6.0,21238310,21041.0,0.0,0.0,Hurricane,2017.0
3806968,1405.0,1278.0,124.0,3.0,1.0,1410595,1145.0,0.0,0.0,Hurricane,2017.0
420067,283.0,279.0,4.0,0.0,0.0,141065,140.0,0.0,0.0,Hurricane,2017.0
857035,377.0,362.0,13.0,2.0,1.0,192838,175.0,0.0,0.0,Hurricane,2017.0
167984,86.0,86.0,0.0,0.0,0.0,14820,17.0,0.0,0.0,Hurricane,2017.0
2151395,813.0,748.0,57.0,8.0,2.0,526813,586.0,0.0,0.0,Hurricane,2017.0
3506548,1637.0,1566.0,61.0,10.0,4.0,1079675,1043.0,0.0,0.0,Hurricane,2017.0
4161059,2707.0,2641.0,58.0,8.0,2.0,1847501,1826.0,0.0,0.0,Hurricane,2017.0
6527620,3949.0,3828.0,108.0,13.0,3.0,3297110,3129.0,0.0,0.0,Hurricane,2017.0
16777190,13350.0,13119.0,213.0,18.0,9.0,22435699,23947.0,0.0,0.0,Hurricane,2017.0
2550175,1640.0,1581.0,57.0,2.0,1.0,1560747,1544.0,2.0,1.0,Hurricane,2017.0
222890,214.0,212.0,2.0,0.0,0.0,102440,124.0,0.0,0.0,Hurricane,2017.0
7004691,5135.0,5051.0,76.0,8.0,7.0,4704967,4680.0,0.0,0.0,Hurricane,2017.0
29653973,18175.0,17530.0,595.0,50.0,19.0,21767417,21248.0,1.0,0.0,Hurricane,2017.0
924852,874.0,863.0,9.0,2.0,0.0,361136,459.0,0.0,0.0,Hurricane,2017.0
5236083,3866.0,3784.0,81.0,1.0,0.0,5186367,5156.0,0.0,0.0,Hurricane,2017.0
12092749,8895.0,8737.0,139.0,19.0,11.0,6838218,7273.0,0.0,0.0,Hurricane,2017.0
1570458,1073.0,1048.0,21.0,4.0,3.0,1024118,988.0,0.0,0.0,Hurricane,2017.0
86949088,62875.0,61963.0,853.0,59.0,23.0,136354931,116194.0,10.0,0.0,Hurricane,2017.0
46107546,8149.0,6532.0,1257.0,360.0,116.0,20166447,8643.0,16.0,9.0,Hurricane,2017.0
2290029,1230.0,1180.0,44.0,6.0,1.0,706103,634.0,0.0,0.0,Hurricane,2017.0
1691201,879.0,842.0,29.0,8.0,4.0,495569,515.0,0.0,0.0,Hurricane,2017.0
20759680,16353.0,16109.0,221.0,23.0,9.0,27112262,27332.0,0.0,0.0,Hurricane,2017.0
6008588,3495.0,3366.0,124.0,5.0,2.0,4775658,4317.0,0.0,0.0,Hurricane,2017.0
24470052,18846.0,18679.0,155.0,12.0,4.0,32320639,27074.0,3.0,1.0,Hurricane,2017.0
9781308,6664.0,6528.0,125.0,11.0,5.0,6870314,6763.0,0.0,0.0,Hurricane,2017.0
22006255,20535.0,20441.0,88.0,6.0,1.0,23849298,24068.0,0.0,0.0,Hurricane,2017.0
24667964,15652.0,15194.0,436.0,22.0,8.0,15454057,16014.0,1.0,0.0,Hurricane,2017.0
5102615,3000.0,2890.0,101.0,9.0,6.0,1644445,1878.0,0.0,0.0,Hurricane,2017.0
5944847,4638.0,4576.0,58.0,4.0,2.0,4417764,4170.0,0.0,0.0,Hurricane,2017.0
9605357,7050.0,6918.0,128.0,4.0,0.0,10566132,10210.0,0.0,0.0,Hurricane,2017.0
4898612,2333.0,2201.0,123.0,9.0,1.0,1546245,1398.0,0.0,0.0,Hurricane,2017.0
7265582,3860.0,3682.0,171.0,7.0,0.0,5137065,4342.0,0.0,0.0,Hurricane,2017.0
2168769,1338.0,1302.0,30.0,6.0,4.0,626596,715.0,0.0,0.0,Hurricane,2017.0
1087958,1017.0,1007.0,10.0,0.0,0.0,534983,667.0,0.0,0.0,Hurricane,2017.0
336820,190.0,181.0,9.0,0.0,0.0,136392,169.0,0.0,0.0,Hurricane,2017.0
13579673,8818.0,8586.0,217.0,15.0,4.0,11395548,9826.0,0.0,0.0,Hurricane,2017.0
1678220,551.0,490.0,57.0,4.0,0.0,639494,651.0,0.0,0.0,Hurricane,2017.0
252983,102.0,96.0,6.0,0.0,0.0,38904,36.0,0.0,0.0,Hurricane,2017.0
2244242,1345.0,1296.0,47.0,2.0,0.0,2614352,2873.0,0.0,0.0,Hurricane,2017.0
204005,116.0,114.0,2.0,0.0,0.0,18488,27.0,0.0,0.0,Hurricane,2017.0
2775350,1171.0,1085.0,83.0,3.0,1.0,1834193,1806.0,0.0,0.0,Hurricane,2017.0
514324,152.0,139.0,11.0,2.0,1.0,194901,210.0,0.0,0.0,Hurricane,2017.0
529741,245.0,231.0,12.0,2.0,0.0,97805,107.0,0.0,0.0,Hurricane,2017.0
9766618,2102.0,1818.0,222.0,62.0,41.0,1550385,746.0,0.0,0.0,Hurricane,2017.0
