disasterNumber,hmgpCloseoutStatus,hmgpReconciliationDate,lockedInCeilingAmount,obligatedTotalAmount,obligatedInitiativeAmount,obligatedPlanningAmount,obligatedRegularAmount,obligatedSMCAmount,obligatedGranteeAdmin,obligatedSubgranteeAdmin,hash,lastRefresh
4306,Open,,356168,113370.5,0,0,95953.5,17417,0,0,63189fe78e185270b395ea1b712e68d3,2019-10-10T19:40:44.986Z
4254,Open,,1901112,1994076,0,73125,1827987,92964,0,0,1daf9fb9d16b88fcd53f55160b96cdeb,2019-10-10T19:40:44.977Z
1220,Closed,2011-04-25T04:00:00.000Z,2066828,1959913,103341,0,1742478,28298,30296,55500,ac0bc98b04ffee0182f23b6cf1ac7d1e,2019-10-10T19:40:45.293Z
968,Closed,2001-09-04T04:00:00.000Z,132750,142841,0,0,132750,0,3781,6310,c5689f77dfc93c25d53f13f0ea5fb893,2019-10-10T19:40:44.712Z
4319,Open,,5013225,5215973.62,179661.9,253251,4540310.72,242750,0,0,4c67afb061221103ef844e3fce965520,2019-12-20T20:32:17.863Z
4280,Open,,12565914,8431867.34,975000,0,6842394.34,614473,0,0,9afe4bcd0ced32019b417593b10bf388,2019-12-18T20:32:11.784Z
1721,Closed,2009-08-29T04:00:00.000Z,150575,0,0,0,0,0,0,0,451e564e59c505ce10166066528152dd,2019-10-10T19:40:44.576Z
1263,Closed,2004-04-15T04:00:00.000Z,221216,235411,246,0,220970,0,5597,8598,01f146fdbca4abd3374fef2b370eb8c2,2019-10-10T19:40:45.037Z
1928,Closed,2018-01-10T05:00:00.000Z,2588700,2454493,0,25500,2351179,77814,0,0,0836f1b79bf09df8e2eac350c49215d2,2019-10-10T19:40:44.979Z
4281,Open,,1071194,1123575,50865,45000,975329,52381,0,0,947ce19c441aba099f6e204ab5d7b874,2019-12-13T20:31:35.439Z
1467,Closed,2009-06-12T04:00:00.000Z,2901636,2421439,25720,190226,2062581,83308,5464,54140,5bfce1fbaad2983e9046636566f923f5,2019-10-10T19:40:44.984Z
1924,Closed,2016-04-28T04:00:00.000Z,15052604,1234417,930321,0,241183,62913,0,0,e377fcbc4265fb2664f1473dfa600270,2019-10-10T19:40:44.929Z
1404,Closed,2006-09-06T04:00:00.000Z,731250,338652,14225,0,255677,59542,351,8857,09a2c3d427baf925919fb8c49135ef68,2019-10-10T19:40:44.557Z
4312,Open,,33742,24318.75,0,0,22668.75,1650,0,0,9baa7d0d1a9e9cb480ff67b68f0232b4,2019-10-10T19:40:45.001Z
4263,Open,,28992576,9436984.17,320344,0,7698903.17,1417737,0,0,dac735c7f9346da66e2fb9e07969601a,2019-10-10T19:40:45.065Z
1933,Open,,16003899,11179104,68849,508837,9943871,657547,0,0,6536eb3858eb730efac8c50b470f05ba,2019-12-03T20:31:41.107Z
4250,Open,,10307913,10803538,120452,515758,9663300,504028,0,0,0c2639904ff6eb683898c2338ae7dc10,2019-10-10T19:40:44.974Z
951,Closed,1998-03-25T05:00:00.000Z,373789,391009,0,0,373789,0,6220,11000,8f892bc5a5df12d658cea0311b4284c9,2019-10-10T19:40:44.575Z
1934,Closed,2015-08-05T04:00:00.000Z,3493006,1579035,16387,0,1543816,18832,0,0,7f8e999f2cf10eaa596caf9bd7dff008,2019-10-10T19:40:45.029Z
4248,Open,,1290098,538273,52497,0,422690,63086,0,0,f573067209cd968c476f2043b5fdc750,2019-10-10T19:40:44.993Z
4277,Open,,261971744,65940935.25,4330157.75,11250000,37550359.5,12810418,0,0,8b001de1f20c077cc54d5aefb76fc894,2019-12-28T20:32:21.121Z
1374,Closed,2006-08-02T04:00:00.000Z,556932,492411,27250,0,444706,0,8787,11668,b1e1239c5724b7bcda1c6b6ac605e358,2019-10-10T19:40:45.031Z
1178,Closed,2003-01-10T05:00:00.000Z,125444,133788,0,0,125444,0,3604,4740,a9f17475dcd9c76bc55a6d9d5abae7ae,2019-10-10T19:40:45.295Z
1368,Closed,2007-05-03T04:00:00.000Z,1007808,521140,0,0,513203,0,1461,6476,67adda3b6c5f340f8769222ef268feeb,2019-10-10T19:40:44.575Z
860,Closed,1995-03-01T05:00:00.000Z,0,0,0,0,0,0,0,0,e6471e56bfa459a7117ff578670273cb,2019-10-10T19:40:44.938Z
4253,Open,,1684832,504187,0,0,421799,82388,0,0,499a0997495bba6dc74918f60a0be447,2019-10-10T19:40:44.996Z
1161,Closed,2001-03-28T05:00:00.000Z,251000,265512,0,0,251000,0,6187,8325,0c2dfaad76307d8ca53bc491381f6099,2019-10-10T19:40:45.024Z
4196,Open,,1117328,1139096.23,96266,78213,909980.23,54637,0,0,f6d5ce315e6b2346457bb81c9de4ebdb,2019-11-16T20:32:48.826Z
4309,Open,,6150492,1480895,0,345750,889500,245645,0,0,42e872df4ca18b7cfc126fa5af341172,2019-10-18T03:44:52.770Z
4261,Open,,10740208,8400977.71,403053,362000,7110728.71,525196,0,0,bde7b2a41b9c016d548350abd77beded,2019-11-22T20:47:29.852Z
1117,Closed,2002-12-20T05:00:00.000Z,375242,395934,0,0,373035,2207,8744,11948,c70598618517f453e9885a4ce762c9ae,2019-10-10T19:40:44.572Z
4260,Open,,2637467,1346738.59,131873,0,1085893.59,128972,0,0,a6c8432cb23f26864cbdddf5004a4c0e,2019-10-10T19:40:45.048Z
4326,Open,,753472,500201,0,0,463610,36591,0,0,52bd6f5b6ebb5d27f24352bb4516d705,2019-12-05T20:32:37.475Z
1176,Closed,2004-02-13T05:00:00.000Z,644986,525233,42426,0,400996,54634,11279,15898,61023f249026791201c9ec7ccca9f04e,2019-10-10T19:40:45.002Z
4264,Open,,11046531,11586702,0,500000,10546527,540175,0,0,602aa11b5ea592613ea57d78b5010317,2019-10-10T19:40:44.944Z
1526,Closed,2010-07-08T04:00:00.000Z,1362737,1322215,49191,71598,1103759,60027,4244,33396,9a78474ce381d41711994d3a030f84dd,2019-10-10T19:40:45.052Z
1512,Closed,2009-03-12T04:00:00.000Z,243225,8570,8000,0,0,0,250,320,de391225dd6c9c69d2e24ee63e5abec2,2019-10-10T19:40:44.691Z
895,Closed,2001-05-21T04:00:00.000Z,166836,178910,0,0,165790,0,4488,8632,35a803c83d2ef21f47adac4297790778,2019-10-10T19:40:44.721Z
1353,Closed,2004-07-23T04:00:00.000Z,98251,104509,0,0,90972,7279,2832,3426,9458b4db4b8703f731964f37a608598a,2019-10-10T19:40:44.976Z
1486,Closed,2009-06-12T04:00:00.000Z,1755157,1453627,87327,114596,1134753,83347,4306,29298,07f3ef7ae51c7d95b3b707e84c2e99e5,2019-10-10T19:40:44.710Z
1466,Closed,2009-11-18T05:00:00.000Z,4146632,3112794,195619,31654,2564638,213524,39597,67762,f006496689c920843f287a5ab7930890,2019-10-10T19:40:44.958Z
1355,Closed,2013-01-08T05:00:00.000Z,25933284,23968328,1183356,1753972,19812883,679915,151684,386518,cb6f9cf54f258675e041958d98a78645,2019-10-10T19:40:45.290Z
