Disaster,State,County,City,Zip Code,Valid Registrations,Total Inspected,Inspected with No Damage,Total with Moderate Damage,Total with Major Damage,Total with Substantial Damage,Approved for FEMA Assistance,Total Approved IHP Amount,Repair/Replace Amount,Rental Amount,Other Needs Amount,"Approved between $1 and $10,000","Approved between $10,001 and $25,000","Approved between $25,001 and Max",Total Max Grants
4407,CA,Ventura (County),OXNARD,93033,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4407,CA,Ventura (County),OXNARD,93035,1,0,0,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4407,CA,Ventura (County),PORT HUENEME,93041,1,0,0,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4407,CA,Ventura (County),SIMI VALLEY,93063,6,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4407,CA,Ventura (County),SIMI VALLEY,93065,5,2,2,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4407,CA,Ventura (County),THOUSAND OAKS,91320,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4407,CA,Ventura (County),THOUSAND OAKS,91360,14,6,6,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4407,CA,Ventura (County),THOUSAND OAKS,91361,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4407,CA,Ventura (County),THOUSAND OAKS,91362,39,21,19,1,1,0,4,"$23,120.83 ", $-   ,"$9,904.00 ","$13,217 ",3,1,0,0
4407,CA,Ventura (County),VENTURA,93001,7,6,6,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4407,CA,Ventura (County),VENTURA,93003,5,4,4,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4407,CA,Ventura (County),VENTURA,93004,4,3,3,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4407,CA,Ventura (County),WEST HILLS,91307,5,3,3,0,0,0,2,"$4,265.99 ", $-   ,"$4,086.00 ",$180 ,2,0,0,0
4407,CA,Ventura (County),WESTLAKE VILLAGE,91361,19,10,10,0,0,0,4,"$14,485.27 ", $-   ,"$12,796.00 ","$1,689 ",4,0,0,0
4407,CA,Ventura (County),WESTLAKE VILLAGE,91362,5,3,3,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),ALTADENA,91001,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),BELLFLOWER,90706,1,0,0,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),BURBANK,91505,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),BURBANK,91506,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),CANOGA PARK,91304,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),CARSON,90745,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),CASTAIC,91384,1,0,0,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),CHATSWORTH,91311,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),CLAREMONT,91711,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),COMPTON,90220,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),COMPTON,90222,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),ENCINO,91436,2,2,2,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),GARDEN GROVE,92841,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),GLENDALE,91206,2,2,2,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),GLENDORA,91741,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),LAKE HUGHES,93532,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),LAKE VIEW TERRACE,91342,3,3,3,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),LAKEWOOD,90713,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),LANCASTER,93534,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),LANCASTER,93535,2,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),LANCASTER,93536,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),LONG BEACH,90804,1,0,0,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),LONG BEACH,90805,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),LONG BEACH,90810,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),LOS ANGELES,90001,1,0,0,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),LOS ANGELES,90002,3,2,2,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),LOS ANGELES,90008,4,4,4,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),LOS ANGELES,90013,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),LOS ANGELES,90017,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),LOS ANGELES,90019,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),LOS ANGELES,90024,3,0,0,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),LOS ANGELES,90025,2,2,2,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),LOS ANGELES,90028,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),LOS ANGELES,90031,2,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),LOS ANGELES,90033,1,0,0,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),LOS ANGELES,90034,1,0,0,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),LOS ANGELES,90035,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),LOS ANGELES,90037,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),LOS ANGELES,90043,1,0,0,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),LOS ANGELES,90044,2,0,0,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),LOS ANGELES,90047,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),LOS ANGELES,90077,1,0,0,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),LYNWOOD,90262,1,0,0,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),MONTEBELLO,90640,1,0,0,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),NORTH HILLS,91343,1,0,0,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),NORTH HOLLYWOOD,91605,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),PACOIMA,91331,1,0,0,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),PALMDALE,93550,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),PANORAMA CITY,91402,2,0,0,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),PASADENA,91101,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),PASADENA,91104,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),PICO RIVERA,90660,3,3,3,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),POMONA,91766,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),RANCHO PALOS VERDES,90275,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),REDONDO BEACH,90278,1,1,1,0,0,0,0, $-   , $-   , $-   ,$0 ,0,0,0,0
