Disaster,State,County,City,Zip Code,Valid Registrations,Average FEMA Inspected Damage,Total Inspected,Total Damage,No FEMA Inspected Damage,"FEMA Inspected Damage between $1 and $10,000","FEMA Inspected Damage between $10,001 and $20,000","FEMA Inspected Damage between $20,001 and $30,000","FEMA Inspected Damage > $30,000",Approved for FEMA Assistance,Total Approved IHP Amount,Repair/Replace Amount,Rental Amount,Other Needs Amount,"Approved between $1 and $10,000","Approved between $10,001 and $25,000","Approved between $25,001 and Max",Total Max Grants
4353,CA,Los Angeles (County),SAN MARINO,91108,1, $-   ,1, $-   ,1,0,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),SAN PEDRO,90731,1, $-   ,1, $-   ,1,0,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),SAN PEDRO,90732,2, $-   ,2, $-   ,2,0,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),SANTA CLARITA,91387,1, $-   ,1, $-   ,1,0,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),SAUGUS,91350,1, $-   ,1, $-   ,1,0,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),SHADOW HILLS,91040,2, $-   ,1, $-   ,1,0,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),STUDIO CITY,91604,1, $-   ,1, $-   ,1,0,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),SUNLAND,91040,26,"$2,834.37 ",8,"$22,674.97 ",1,6,1,0,0,4,"$10,796.79 ","$3,427 ","$7,370 ",$0 ,4,0,0,0
4353,CA,Los Angeles (County),SUN VALLEY,91352,8,"$5,826.91 ",6,"$34,961.47 ",3,2,0,0,1,4,"$43,767.79 ","$34,022 ","$9,746 ",$0 ,3,0,1,0
4353,CA,Los Angeles (County),SYLMAR,91342,107,"$40,992.12 ",50,"$2,049,606.10 ",10,24,1,2,13,18,"$196,407.56 ","$152,291 ","$22,522 ","$21,595 ",14,0,4,0
4353,CA,Los Angeles (County),TOLUCA LAKE,91602,1, $-   ,1, $-   ,1,0,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),TORRANCE,90505,1, $-   ,1, $-   ,1,0,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),TUJUNGA,91042,1, $-   ,1, $-   ,1,0,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),VALENCIA,91355,1, $-   ,1, $-   ,1,0,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),VALLEY VILLAGE,91607,2, $-   ,2, $-   ,2,0,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),VAN NUYS,91405,2, $-   ,2, $-   ,2,0,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),VAN NUYS,91411,1, $-   ,1, $-   ,1,0,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),WHITTIER,90601,1, $-   ,1, $-   ,1,0,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),WINNETKA,91306,1, $-   ,1, $-   ,1,0,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0,0,0,0
4353,CA,Los Angeles (County),WOODLAND HILLS,91364,1, $-   ,1, $-   ,1,0,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0,0,0,0
4353,CA,San Diego (County),BONSALL,92003,53,"$43,310.77 ",11,"$476,418.50 ",5,1,0,1,4,2,"$61,075.36 ","$55,475 ","$5,600 ",$0 ,0,1,1,0
4353,CA,San Diego (County),CHULA VISTA,91911,2, $-   ,2, $-   ,2,0,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0,0,0,0
4353,CA,San Diego (County),CHULA VISTA,91915,1, $-   ,1, $-   ,1,0,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0,0,0,0
4353,CA,San Diego (County),DEL MAR,92014,1, $-   ,1, $-   ,1,0,0,0,0,0,$0 ,$0 ,$0 ,$0 ,0,0,0,0
